"X","Number.of.Homicide.Convictions","Percentage.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Percentage.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Percentage.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Percentage.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Percentage.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Percentage.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Percentage.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Percentage.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Percentage.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Percentage.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Percentage.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Percentage.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Percentage.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Percentage.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Percentage.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Percentage.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Percentage.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Percentage.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Percentage.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Percentage.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Percentage.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Percentage.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Percentage.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Percentage.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful","Percentage.of.L.Motoring.Offences.Unsuccessful","year","month"
"Gloucestershire",1,"100.0%",0,"0.0%","69","75.0%","23","25.0%","6","100.0%",0,"0.0%","9","69.2%",4,"30.8%",0,"0",0,"0","60","95.2%","3","4.8%","5","100.0%",0,"0.0%","12","80.0%",3,"20.0%","38","90.5%",4,"9.5%","20","90.9%",2,"9.1%","3","100.0%",0,"0.0%","61","89.7%","7","10.3%","11","100.0%","2017","oct"
"GreaterManchester",10,"100.0%",0,"0.0%","472","78.3%","131","21.7%","73","70.9%",30,"29.1%","58","93.5%",4,"6.5%",24,"92.3%",2,"7.7%","144","90.6%","15","9.4%","20","74.1%",7,"25.9%","90","88.2%",12,"11.8%","65","97.0%",2,"3.0%","141","93.4%",10,"6.6%","39","84.8%",7,"15.2%","294","86.2%","47","13.8%","37","100.0%","2017","oct"
"Gwent",0,"0.0%",2,"100.0%","87","84.5%","16","15.5%","6","60.0%",4,"40.0%","16","84.2%",3,"15.8%",5,"100.0%",0,"0.0%","75","92.6%","6","7.4%","6","100.0%",0,"0.0%","20","80.0%",5,"20.0%","21","77.8%",6,"22.2%","30","78.9%",8,"21.1%","4","100.0%",0,"0.0%","116","89.2%","14","10.8%","1","100.0%","2017","oct"
"Hampshire",0,"-",0,"-","307","81.9%","68","18.1%","25","86.2%",4,"13.8%","31","88.6%",4,"11.4%",8,"100.0%",0,"0.0%","229","95.4%","11","4.6%","26","78.8%",7,"21.2%","39","90.7%",4,"9.3%","64","98.5%",1,"1.5%","80","82.5%",17,"17.5%","17","81.0%",4,"19.0%","228","93.4%","16","6.6%","30","100.0%","2017","oct"
"Hertfordshire",1,"100.0%",0,"0.0%","169","84.9%","30","15.1%","6","85.7%",1,"14.3%","23","85.2%",4,"14.8%",16,"88.9%",2,"11.1%","141","92.2%","12","7.8%","29","100.0%",0,"0.0%","31","93.9%",2,"6.1%","76","95.0%",4,"5.0%","35","85.4%",6,"14.6%","9","100.0%",0,"0.0%","136","87.7%","19","12.3%","16","100.0%","2017","oct"
"Humberside",0,"-",0,"-","187","87.0%","28","13.0%","7","58.3%",5,"41.7%","45","95.7%",2,"4.3%",7,"100.0%",0,"0.0%","131","91.6%","12","8.4%","14","87.5%",2,"12.5%","35","92.1%",3,"7.9%","40","93.0%",3,"7.0%","55","96.5%",2,"3.5%","11","91.7%",1,"8.3%","107","89.2%","13","10.8%","9","100.0%","2017","oct"
"Kent",8,"88.9%",1,"11.1%","253","79.1%","67","20.9%","34","82.9%",7,"17.1%","46","95.8%",2,"4.2%",2,"66.7%",1,"33.3%","142","87.1%","21","12.9%","29","100.0%",0,"0.0%","48","87.3%",7,"12.7%","72","98.6%",1,"1.4%","76","92.7%",6,"7.3%","21","84.0%",4,"16.0%","164","88.2%","22","11.8%","51","100.0%","2017","oct"
"Lancashire",4,"100.0%",0,"0.0%","273","78.2%","76","21.8%","13","92.9%",1,"7.1%","43","87.8%",6,"12.2%",6,"66.7%",3,"33.3%","256","96.2%","10","3.8%","14","93.3%",1,"6.7%","71","91.0%",7,"9.0%","63","98.4%",1,"1.6%","103","88.8%",13,"11.2%","21","100.0%",0,"0.0%","287","86.4%","45","13.6%","9","100.0%","2017","oct"
"Leicestershire",4,"100.0%",0,"0.0%","144","77.8%","41","22.2%","33","75.0%",11,"25.0%","22","91.7%",2,"8.3%",4,"80.0%",1,"20.0%","75","87.2%","11","12.8%","12","92.3%",1,"7.7%","23","88.5%",3,"11.5%","38","95.0%",2,"5.0%","42","82.4%",9,"17.6%","11","84.6%",2,"15.4%","119","79.3%","31","20.7%","4","100.0%","2017","oct"
"Lincolnshire",0,"-",0,"-","140","88.6%","18","11.4%","6","100.0%",0,"0.0%","16","88.9%",2,"11.1%",2,"66.7%",1,"33.3%","121","90.3%","13","9.7%","11","91.7%",1,"8.3%","23","82.1%",5,"17.9%","45","100.0%",0,"0.0%","29","80.6%",7,"19.4%","9","90.0%",1,"10.0%","135","83.9%","26","16.1%","11","100.0%","2017","oct"
"Merseyside",2,"100.0%",0,"0.0%","240","80.0%","60","20.0%","20","80.0%",5,"20.0%","17","89.5%",2,"10.5%",2,"50.0%",2,"50.0%","158","97.5%","4","2.5%","16","94.1%",1,"5.9%","43","87.8%",6,"12.2%","173","94.0%",11,"6.0%","85","89.5%",10,"10.5%","33","94.3%",2,"5.7%","240","80.8%","57","19.2%","17","100.0%","2017","oct"
"Metropolitan and City",13,"61.9%",8,"38.1%","1,373","70.4%","578","29.6%","136","59.9%",91,"40.1%","160","79.2%",42,"20.8%",59,"64.1%",33,"35.9%","741","84.3%","138","15.7%","226","85.9%",37,"14.1%","196","83.1%",40,"16.9%","960","92.4%",79,"7.6%","460","79.0%",122,"21.0%","199","83.6%",39,"16.4%","1,075","75.5%","349","24.5%","229","100.0%","2017","oct"
"Norfolk",0,"-",0,"-","161","87.5%","23","12.5%","14","93.3%",1,"6.7%","12","100.0%",0,"0.0%",0,"0.0%",1,"100.0%","104","96.3%","4","3.7%","11","100.0%",0,"0.0%","40","95.2%",2,"4.8%","69","98.6%",1,"1.4%","66","90.4%",7,"9.6%","12","92.3%",1,"7.7%","118","92.9%","9","7.1%","9","100.0%","2017","oct"
"Northamptonshire",0,"0.0%",1,"100.0%","126","87.5%","18","12.5%","11","100.0%",0,"0.0%","17","94.4%",1,"5.6%",2,"66.7%",1,"33.3%","57","91.9%","5","8.1%","15","100.0%",0,"0.0%","20","95.2%",1,"4.8%","38","92.7%",3,"7.3%","17","89.5%",2,"10.5%","11","100.0%",0,"0.0%","97","89.8%","11","10.2%","15","100.0%","2017","oct"
"Northumbria",2,"100.0%",0,"0.0%","297","72.3%","114","27.7%","51","76.1%",16,"23.9%","39","86.7%",6,"13.3%",4,"100.0%",0,"0.0%","209","92.9%","16","7.1%","41","78.8%",11,"21.2%","67","84.8%",12,"15.2%","69","92.0%",6,"8.0%","164","82.4%",35,"17.6%","17","77.3%",5,"22.7%","186","83.4%","37","16.6%","18","100.0%","2017","oct"
"North Wales",1,"100.0%",0,"0.0%","165","84.2%","31","15.8%","17","85.0%",3,"15.0%","12","70.6%",5,"29.4%",1,"50.0%",1,"50.0%","77","97.5%","2","2.5%","5","100.0%",0,"0.0%","24","88.9%",3,"11.1%","50","100.0%",0,"0.0%","57","91.9%",5,"8.1%","6","100.0%",0,"0.0%","119","93.7%","8","6.3%","11","100.0%","2017","oct"
"North Yorkshire",1,"33.3%",2,"66.7%","131","85.6%","22","14.4%","12","92.3%",1,"7.7%","19","100.0%",0,"0.0%",3,"100.0%",0,"0.0%","101","95.3%","5","4.7%","3","75.0%",1,"25.0%","25","96.2%",1,"3.8%","32","94.1%",2,"5.9%","47","90.4%",5,"9.6%","7","58.3%",5,"41.7%","94","87.9%","13","12.1%","6","100.0%","2017","oct"
"Nottinghamshire",3,"75.0%",1,"25.0%","221","80.4%","54","19.6%","47","78.3%",13,"21.7%","20","87.0%",3,"13.0%",13,"76.5%",4,"23.5%","172","91.0%","17","9.0%","13","92.9%",1,"7.1%","39","86.7%",6,"13.3%","116","92.8%",9,"7.2%","83","85.6%",14,"14.4%","28","84.8%",5,"15.2%","169","93.9%","11","6.1%","22","100.0%","2017","oct"
"South Wales",2,"100.0%",0,"0.0%","317","72.4%","121","27.6%","35","77.8%",10,"22.2%","36","85.7%",6,"14.3%",7,"63.6%",4,"36.4%","252","96.2%","10","3.8%","11","91.7%",1,"8.3%","52","88.1%",7,"11.9%","133","96.4%",5,"3.6%","122","84.7%",22,"15.3%","14","93.3%",1,"6.7%","193","89.8%","22","10.2%","14","100.0%","2017","oct"
"South Yorkshire",4,"80.0%",1,"20.0%","268","77.5%","78","22.5%","11","73.3%",4,"26.7%","42","93.3%",3,"6.7%",8,"88.9%",1,"11.1%","189","94.0%","12","6.0%","8","100.0%",0,"0.0%","55","82.1%",12,"17.9%","77","95.1%",4,"4.9%","95","89.6%",11,"10.4%","20","90.9%",2,"9.1%","168","88.0%","23","12.0%","23","100.0%","2017","oct"
"Staffordshire",3,"100.0%",0,"0.0%","177","82.7%","37","17.3%","22","78.6%",6,"21.4%","20","100.0%",0,"0.0%",3,"50.0%",3,"50.0%","136","95.1%","7","4.9%","7","87.5%",1,"12.5%","38","79.2%",10,"20.8%","62","96.9%",2,"3.1%","71","89.9%",8,"10.1%","18","85.7%",3,"14.3%","120","83.3%","24","16.7%","19","100.0%","2017","oct"
"Suffolk",0,"-",0,"-","96","80.0%","24","20.0%","11","91.7%",1,"8.3%","6","100.0%",0,"0.0%",1,"100.0%",0,"0.0%","47","94.0%","3","6.0%","7","77.8%",2,"22.2%","22","95.7%",1,"4.3%","47","95.9%",2,"4.1%","34","97.1%",1,"2.9%","5","100.0%",0,"0.0%","95","90.5%","10","9.5%","4","100.0%","2017","oct"
"Surrey",0,"-",0,"-","131","73.2%","48","26.8%","12","70.6%",5,"29.4%","13","92.9%",1,"7.1%",1,"100.0%",0,"0.0%","68","94.4%","4","5.6%","12","85.7%",2,"14.3%","19","86.4%",3,"13.6%","37","97.4%",1,"2.6%","23","88.5%",3,"11.5%","9","81.8%",2,"18.2%","118","92.9%","9","7.1%","26","100.0%","2017","oct"
"Sussex",1,"100.0%",0,"0.0%","210","76.9%","63","23.1%","27","62.8%",16,"37.2%","25","86.2%",4,"13.8%",4,"80.0%",1,"20.0%","122","91.0%","12","9.0%","21","87.5%",3,"12.5%","35","89.7%",4,"10.3%","72","96.0%",3,"4.0%","45","97.8%",1,"2.2%","3","100.0%",0,"0.0%","204","88.3%","27","11.7%","19","100.0%","2017","oct"
"Thames Valley",4,"66.7%",2,"33.3%","320","83.6%","63","16.4%","46","80.7%",11,"19.3%","47","87.0%",7,"13.0%",11,"61.1%",7,"38.9%","232","93.2%","17","6.8%","27","90.0%",3,"10.0%","49","81.7%",11,"18.3%","114","95.8%",5,"4.2%","103","89.6%",12,"10.4%","25","89.3%",3,"10.7%","287","85.9%","47","14.1%","20","100.0%","2017","oct"
"Warwickshire",1,"100.0%",0,"0.0%","64","84.2%","12","15.8%","2","50.0%",2,"50.0%","7","87.5%",1,"12.5%",5,"100.0%",0,"0.0%","56","91.8%","5","8.2%","10","100.0%",0,"0.0%","11","91.7%",1,"8.3%","13","86.7%",2,"13.3%","17","89.5%",2,"10.5%","3","60.0%",2,"40.0%","54","81.8%","12","18.2%","16","100.0%","2017","oct"
"West Mercia",0,"-",0,"-","217","78.6%","59","21.4%","17","63.0%",10,"37.0%","11","91.7%",1,"8.3%",3,"75.0%",1,"25.0%","132","94.3%","8","5.7%","14","82.4%",3,"17.6%","25","92.6%",2,"7.4%","45","97.8%",1,"2.2%","68","90.7%",7,"9.3%","13","100.0%",0,"0.0%","193","91.5%","18","8.5%","15","100.0%","2017","oct"
"West Midlands",6,"85.7%",1,"14.3%","593","80.5%","144","19.5%","56","68.3%",26,"31.7%","73","94.8%",4,"5.2%",31,"77.5%",9,"22.5%","501","93.8%","33","6.2%","60","84.5%",11,"15.5%","85","81.0%",20,"19.0%","238","93.3%",17,"6.7%","213","84.9%",38,"15.1%","51","91.1%",5,"8.9%","298","89.2%","36","10.8%","66","100.0%","2017","oct"
"West Yorkshire",5,"100.0%",0,"0.0%","402","85.0%","71","15.0%","76","78.4%",21,"21.6%","51","86.4%",8,"13.6%",21,"75.0%",7,"25.0%","255","96.2%","10","3.8%","40","85.1%",7,"14.9%","80","90.9%",8,"9.1%","115","97.5%",3,"2.5%","122","91.7%",11,"8.3%","19","95.0%",1,"5.0%","204","95.3%","10","4.7%","27","100.0%","2017","oct"
"Wiltshire",2,"100.0%",0,"0.0%","109","90.8%","11","9.2%","7","77.8%",2,"22.2%","14","100.0%",0,"0.0%",1,"100.0%",0,"0.0%","69","88.5%","9","11.5%","9","81.8%",2,"18.2%","14","87.5%",2,"12.5%","27","100.0%",0,"0.0%","24","92.3%",2,"7.7%","3","75.0%",1,"25.0%","80","93.0%","6","7.0%","6","100.0%","2017","oct"
"National",89,"90.8%",9,"9.2%","9,663","78.1%","2,714","21.9%","1,024","74.4%",352,"25.6%","1,139","86.7%",175,"13.3%",346,"82.2%",75,"17.8%","5,895","91.5%","546","8.5%","816","85.4%",139,"14.6%","1,673","87.0%",250,"13.0%","3,373","93.8%",223,"6.2%","3,185","86.2%",508,"13.8%","716","85.7%",119,"14.3%","6,867","84.4%","1,274","15.6%","994","100.0%","2017","sep"
"Avon and Somerset",2,"100.0%",0,"0.0%","260","76.5%","80","23.5%","48","70.6%",20,"29.4%","34","87.2%",5,"12.8%",5,"100.0%",0,"0.0%","147","93.0%","11","7.0%","23","92.0%",2,"8.0%","32","86.5%",5,"13.5%","78","95.1%",4,"4.9%","73","88.0%",10,"12.0%","18","81.8%",4,"18.2%","178","86.8%","27","13.2%","36","100.0%","2017","sep"
"Bedfordshire",0,"-",0,"-","74","75.5%","24","24.5%","6","75.0%",2,"25.0%","14","87.5%",2,"12.5%",2,"100.0%",0,"0.0%","59","90.8%","6","9.2%","10","100.0%",0,"0.0%","9","75.0%",3,"25.0%","18","94.7%",1,"5.3%","15","88.2%",2,"11.8%","6","100.0%",0,"0.0%","90","77.6%","26","22.4%","16","100.0%","2017","sep"
"Cambridgeshire",1,"50.0%",1,"50.0%","89","78.8%","24","21.2%","13","92.9%",1,"7.1%","12","85.7%",2,"14.3%",4,"100.0%",0,"0.0%","71","97.3%","2","2.7%","15","100.0%",0,"0.0%","22","95.7%",1,"4.3%","31","93.9%",2,"6.1%","32","88.9%",4,"11.1%","9","69.2%",4,"30.8%","98","84.5%","18","15.5%","23","100.0%","2017","sep"
"Cheshire",0,"-",0,"-","262","80.9%","62","19.1%","18","64.3%",10,"35.7%","19","95.0%",1,"5.0%",2,"66.7%",1,"33.3%","109","94.0%","7","6.0%","10","100.0%",0,"0.0%","32","86.5%",5,"13.5%","70","98.6%",1,"1.4%","128","92.1%",11,"7.9%","9","100.0%",0,"0.0%","178","86.8%","27","13.2%","15","100.0%","2017","sep"
"Cleveland",0,"-",0,"-","104","75.9%","33","24.1%","12","92.3%",1,"7.7%","18","81.8%",4,"18.2%",6,"85.7%",1,"14.3%","175","92.1%","15","7.9%","10","83.3%",2,"16.7%","24","72.7%",9,"27.3%","65","92.9%",5,"7.1%","36","81.8%",8,"18.2%","10","90.9%",1,"9.1%","69","88.5%","9","11.5%","7","100.0%","2017","sep"
"Cumbria",0,"-",0,"-","85","83.3%","17","16.7%","2","66.7%",1,"33.3%","6","100.0%",0,"0.0%",1,"100.0%",0,"0.0%","63","94.0%","4","6.0%","4","100.0%",0,"0.0%","22","95.7%",1,"4.3%","29","100.0%",0,"0.0%","30","96.8%",1,"3.2%","4","100.0%",0,"0.0%","75","90.4%","8","9.6%","0","-","2017","sep"
"Derbyshire",1,"100.0%",0,"0.0%","170","85.4%","29","14.6%","13","92.9%",1,"7.1%","21","80.8%",5,"19.2%",5,"100.0%",0,"0.0%","120","90.2%","13","9.8%","10","90.9%",1,"9.1%","40","88.9%",5,"11.1%","54","94.7%",3,"5.3%","44","88.0%",6,"12.0%","14","82.4%",3,"17.6%","99","89.2%","12","10.8%","12","100.0%","2017","sep"
"Devon and Cornwall",4,"100.0%",0,"0.0%","187","81.3%","43","18.7%","10","90.9%",1,"9.1%","18","85.7%",3,"14.3%",4,"100.0%",0,"0.0%","99","91.7%","9","8.3%","7","63.6%",4,"36.4%","34","94.4%",2,"5.6%","50","96.2%",2,"3.8%","67","90.5%",7,"9.5%","10","100.0%",0,"0.0%","153","93.9%","10","6.1%","9","100.0%","2017","sep"
"Dorset",1,"100.0%",0,"0.0%","128","82.1%","28","17.9%","10","90.9%",1,"9.1%","13","92.9%",1,"7.1%",3,"50.0%",3,"50.0%","80","96.4%","3","3.6%","8","72.7%",3,"27.3%","25","96.2%",1,"3.8%","31","100.0%",0,"0.0%","63","88.7%",8,"11.3%","12","100.0%",0,"0.0%","115","89.1%","14","10.9%","19","100.0%","2017","sep"
"Durham",0,"-",0,"-","104","81.3%","24","18.8%","2","100.0%",0,"0.0%","17","85.0%",3,"15.0%",2,"50.0%",2,"50.0%","89","89.0%","11","11.0%","4","57.1%",3,"42.9%","25","78.1%",7,"21.9%","16","94.1%",1,"5.9%","26","81.3%",6,"18.8%","6","85.7%",1,"14.3%","70","89.7%","8","10.3%","10","100.0%","2017","sep"
"Dyfed Powys",0,"-",0,"-","58","80.6%","14","19.4%","0","0.0%",2,"100.0%","6","100.0%",0,"0.0%",1,"100.0%",0,"0.0%","48","96.0%","2","4.0%","2","66.7%",1,"33.3%","22","95.7%",1,"4.3%","38","97.4%",1,"2.6%","22","91.7%",2,"8.3%","4","100.0%",0,"0.0%","74","89.2%","9","10.8%","2","100.0%","2017","sep"
"Essex",4,"100.0%",0,"0.0%","237","79.0%","63","21.0%","49","84.5%",9,"15.5%","28","90.3%",3,"9.7%",6,"60.0%",4,"40.0%","112","92.6%","9","7.4%","22","84.6%",4,"15.4%","41","89.1%",5,"10.9%","62","98.4%",1,"1.6%","47","94.0%",3,"6.0%","6","85.7%",1,"14.3%","189","76.2%","59","23.8%","21","100.0%","2017","sep"
"Gloucestershire",1,"100.0%",0,"0.0%","73","84.9%","13","15.1%","1","33.3%",2,"66.7%","13","92.9%",1,"7.1%",2,"100.0%",0,"0.0%","46","93.9%","3","6.1%","3","75.0%",1,"25.0%","18","94.7%",1,"5.3%","31","100.0%",0,"0.0%","18","81.8%",4,"18.2%","2","50.0%",2,"50.0%","58","95.1%","3","4.9%","11","100.0%","2017","sep"
"GreaterManchester",12,"92.3%",1,"7.7%","490","81.8%","109","18.2%","64","65.3%",34,"34.7%","55","100.0%",0,"0.0%",37,"97.4%",1,"2.6%","151","95.0%","8","5.0%","20","80.0%",5,"20.0%","82","87.2%",12,"12.8%","81","88.0%",11,"12.0%","141","83.4%",28,"16.6%","32","91.4%",3,"8.6%","286","88.8%","36","11.2%","42","100.0%","2017","sep"
"Gwent",0,"-",0,"-","78","79.6%","20","20.4%","8","72.7%",3,"27.3%","8","66.7%",4,"33.3%",0,"0.0%",6,"100.0%","83","92.2%","7","7.8%","10","100.0%",0,"0.0%","18","78.3%",5,"21.7%","47","100.0%",0,"0.0%","30","83.3%",6,"16.7%","4","80.0%",1,"20.0%","65","80.2%","16","19.8%","10","100.0%","2017","sep"
"Hampshire",1,"100.0%",0,"0.0%","296","80.2%","73","19.8%","35","81.4%",8,"18.6%","34","89.5%",4,"10.5%",7,"87.5%",1,"12.5%","159","95.8%","7","4.2%","17","100.0%",0,"0.0%","40","88.9%",5,"11.1%","56","100.0%",0,"0.0%","68","89.5%",8,"10.5%","19","100.0%",0,"0.0%","184","89.3%","22","10.7%","24","100.0%","2017","sep"
"Hertfordshire",1,"100.0%",0,"0.0%","163","78.4%","45","21.6%","8","100.0%",0,"0.0%","25","96.2%",1,"3.8%",3,"100.0%",0,"0.0%","138","95.8%","6","4.2%","20","80.0%",5,"20.0%","26","89.7%",3,"10.3%","55","98.2%",1,"1.8%","39","86.7%",6,"13.3%","8","72.7%",3,"27.3%","128","83.1%","26","16.9%","10","100.0%","2017","sep"
"Humberside",0,"-",0,"-","175","86.6%","27","13.4%","11","84.6%",2,"15.4%","14","87.5%",2,"12.5%",7,"77.8%",2,"22.2%","129","91.5%","12","8.5%","13","86.7%",2,"13.3%","36","87.8%",5,"12.2%","40","85.1%",7,"14.9%","63","94.0%",4,"6.0%","13","92.9%",1,"7.1%","67","82.7%","14","17.3%","20","100.0%","2017","sep"
"Kent",4,"100.0%",0,"0.0%","310","80.1%","77","19.9%","24","85.7%",4,"14.3%","23","85.2%",4,"14.8%",12,"70.6%",5,"29.4%","139","91.4%","13","8.6%","38","88.4%",5,"11.6%","63","87.5%",9,"12.5%","80","96.4%",3,"3.6%","56","84.8%",10,"15.2%","28","90.3%",3,"9.7%","162","89.0%","20","11.0%","40","100.0%","2017","sep"
"Lancashire",0,"-",0,"-","254","76.0%","80","24.0%","22","95.7%",1,"4.3%","36","94.7%",2,"5.3%",8,"88.9%",1,"11.1%","244","93.1%","18","6.9%","19","73.1%",7,"26.9%","55","91.7%",5,"8.3%","60","96.8%",2,"3.2%","106","90.6%",11,"9.4%","17","94.4%",1,"5.6%","231","84.6%","42","15.4%","12","100.0%","2017","sep"
"Leicestershire",1,"100.0%",0,"0.0%","178","86.8%","27","13.2%","28","70.0%",12,"30.0%","26","83.9%",5,"16.1%",5,"83.3%",1,"16.7%","72","92.3%","6","7.7%","11","91.7%",1,"8.3%","21","84.0%",4,"16.0%","43","91.5%",4,"8.5%","49","89.1%",6,"10.9%","11","91.7%",1,"8.3%","124","78.0%","35","22.0%","15","100.0%","2017","sep"
"Lincolnshire",1,"100.0%",0,"0.0%","125","81.7%","28","18.3%","3","100.0%",0,"0.0%","17","77.3%",5,"22.7%",0,"0.0%",2,"100.0%","87","88.8%","11","11.2%","8","72.7%",3,"27.3%","24","100.0%",0,"0.0%","33","94.3%",2,"5.7%","37","78.7%",10,"21.3%","11","64.7%",6,"35.3%","124","77.5%","36","22.5%","8","100.0%","2017","sep"
"Merseyside",0,"-",0,"-","305","81.8%","68","18.2%","32","76.2%",10,"23.8%","14","100.0%",0,"0.0%",4,"100.0%",0,"0.0%","179","94.7%","10","5.3%","16","76.2%",5,"23.8%","33","84.6%",6,"15.4%","176","95.1%",9,"4.9%","107","94.7%",6,"5.3%","14","66.7%",7,"33.3%","225","87.5%","32","12.5%","19","100.0%","2017","sep"
"Metropolitan and City",12,"92.3%",1,"7.7%","1,363","68.1%","638","31.9%","142","70.3%",60,"29.7%","158","74.2%",55,"25.8%",87,"79.8%",22,"20.2%","687","82.8%","143","17.2%","175","85.0%",31,"15.0%","210","81.7%",47,"18.3%","917","91.4%",86,"8.6%","426","76.1%",134,"23.9%","175","83.3%",35,"16.7%","964","74.9%","323","25.1%","214","100.0%","2017","sep"
"Norfolk",0,"-",0,"-","158","81.9%","35","18.1%","5","71.4%",2,"28.6%","14","93.3%",1,"6.7%",4,"100.0%",0,"0.0%","103","93.6%","7","6.4%","14","93.3%",1,"6.7%","45","91.8%",4,"8.2%","54","98.2%",1,"1.8%","89","93.7%",6,"6.3%","6","85.7%",1,"14.3%","134","92.4%","11","7.6%","10","100.0%","2017","sep"
"Northamptonshire",0,"-",0,"-","126","84.6%","23","15.4%","8","88.9%",1,"11.1%","9","75.0%",3,"25.0%",0,"0",0,"0","54","91.5%","5","8.5%","5","100.0%",0,"0.0%","15","100.0%",0,"0.0%","22","91.7%",2,"8.3%","21","84.0%",4,"16.0%","4","100.0%",0,"0.0%","95","89.6%","11","10.4%","16","100.0%","2017","sep"
"Northumbria",2,"100.0%",0,"0.0%","242","75.2%","80","24.8%","52","69.3%",23,"30.7%","49","87.5%",7,"12.5%",9,"90.0%",1,"10.0%","231","92.8%","18","7.2%","23","82.1%",5,"17.9%","66","88.0%",9,"12.0%","58","82.9%",12,"17.1%","157","86.7%",24,"13.3%","12","92.3%",1,"7.7%","185","84.9%","33","15.1%","11","100.0%","2017","sep"
"North Wales",0,"0.0%",1,"100.0%","187","83.1%","38","16.9%","14","82.4%",3,"17.6%","22","95.7%",1,"4.3%",2,"100.0%",0,"0.0%","108","93.1%","8","6.9%","5","100.0%",0,"0.0%","24","92.3%",2,"7.7%","32","94.1%",2,"5.9%","67","93.1%",5,"6.9%","7","100.0%",0,"0.0%","138","91.4%","13","8.6%","5","100.0%","2017","sep"
"North Yorkshire",1,"100.0%",0,"0.0%","112","89.6%","13","10.4%","10","76.9%",3,"23.1%","22","95.7%",1,"4.3%",0,"0",0,"0","88","94.6%","5","5.4%","10","76.9%",3,"23.1%","22","88.0%",3,"12.0%","30","90.9%",3,"9.1%","50","87.7%",7,"12.3%","15","78.9%",4,"21.1%","124","91.9%","11","8.1%","14","100.0%","2017","sep"
"Nottinghamshire",4,"100.0%",0,"0.0%","247","78.9%","66","21.1%","28","77.8%",8,"22.2%","23","85.2%",4,"14.8%",9,"81.8%",2,"18.2%","150","92.0%","13","8.0%","16","94.1%",1,"5.9%","44","88.0%",6,"12.0%","87","89.7%",10,"10.3%","69","88.5%",9,"11.5%","12","85.7%",2,"14.3%","139","88.5%","18","11.5%","25","100.0%","2017","sep"
"South Wales",2,"100.0%",0,"0.0%","382","74.5%","131","25.5%","27","69.2%",12,"30.8%","27","77.1%",8,"22.9%",6,"100.0%",0,"0.0%","252","92.3%","21","7.7%","24","85.7%",4,"14.3%","61","89.7%",7,"10.3%","114","95.8%",5,"4.2%","146","78.9%",39,"21.1%","14","87.5%",2,"12.5%","225","74.5%","77","25.5%","11","100.0%","2017","sep"
"South Yorkshire",3,"75.0%",1,"25.0%","209","74.9%","70","25.1%","14","87.5%",2,"12.5%","40","87.0%",6,"13.0%",25,"100.0%",0,"0.0%","157","85.3%","27","14.7%","24","85.7%",4,"14.3%","48","85.7%",8,"14.3%","74","93.7%",5,"6.3%","88","90.7%",9,"9.3%","13","86.7%",2,"13.3%","167","89.8%","19","10.2%","57","100.0%","2017","sep"
"Staffordshire",0,"-",0,"-","194","76.7%","59","23.3%","24","72.7%",9,"27.3%","18","81.8%",4,"18.2%",5,"100.0%",0,"0.0%","123","91.1%","12","8.9%","19","86.4%",3,"13.6%","34","85.0%",6,"15.0%","61","96.8%",2,"3.2%","56","82.4%",12,"17.6%","18","85.7%",3,"14.3%","129","82.7%","27","17.3%","24","100.0%","2017","sep"
